# Dataset:      Phytoplankton specific-absorption pre-factor A(λ) in
#               a_φ*(λ) = A(λ) · Chl^(-E(λ))
# Source:       Bricaud, Morel, Babin, Allali & Claustre (1998),
#               "Variations of light absorption by suspended particles with
#               chlorophyll a concentration in oceanic (case 1) waters:
#               Analysis and implications for bio-optical models,"
#               JGR 103, 31033-31044. doi:10.1029/98JC02712
# UV extension: Morrison & Nelson (2004), Limnol. Oceanogr. 49, 215-224;
#               Vasilkov et al. (2005), Appl. Opt. 44, 2863-2869.
# Retrieved:    https://www.oceanopticsbook.info/packages/iws_l2h/conversion/files/AEmidUVabs.txt
#               (Ocean Optics Web Book; HydroLight-EcoLight v5 companion
#               file, C. D. Mobley, accessed 2026-04-21)
# License:      Creative Commons Attribution (Ocean Optics Web Book site-wide).
# Note:         This is the 1998 Bricaud update (+ UV extensions), not the
#               original 1995 JGR 100, 13321 table. For most applications
#               the 1998 values are the community-standard replacement.
# Range:        300–1000 nm, 2 nm resolution.
# Units:        lambda_nm [nm], A_m2_per_mg [m²/mg].
# Columns:      lambda_nm, A_m2_per_mg
lambda_nm,A_m2_per_mg
300.0,0.0736
302.0,0.0747
304.0,0.0755
306.0,0.0761
308.0,0.0766
310.0,0.0767
312.0,0.0768
314.0,0.0766
316.0,0.0763
318.0,0.0760
320.0,0.0755
322.0,0.0748
324.0,0.0738
326.0,0.0726
328.0,0.0712
330.0,0.0697
332.0,0.0683
334.0,0.0667
336.0,0.0650
338.0,0.0629
340.0,0.0606
342.0,0.0578
344.0,0.0547
346.0,0.0514
348.0,0.0481
350.0,0.0453
352.0,0.0427
354.0,0.0406
356.0,0.0390
358.0,0.0378
360.0,0.0371
362.0,0.0367
364.0,0.0367
366.0,0.0368
368.0,0.0372
370.0,0.0373
372.0,0.0378
374.0,0.0385
376.0,0.0391
378.0,0.0397
380.0,0.0402
382.0,0.0407
384.0,0.0412
386.0,0.0414
388.0,0.0417
390.0,0.0420
392.0,0.0421
394.0,0.0422
396.0,0.0425
398.0,0.0428
400.0,0.0433
402.0,0.0438
404.0,0.0443
406.0,0.0451
408.0,0.0458
410.0,0.0467
412.0,0.0473
414.0,0.0480
416.0,0.0486
418.0,0.0491
420.0,0.0495
422.0,0.0496
424.0,0.0497
426.0,0.0501
428.0,0.0506
430.0,0.0513
432.0,0.0516
434.0,0.0517
436.0,0.0520
438.0,0.0520
440.0,0.0520
442.0,0.0514
444.0,0.0505
446.0,0.0495
448.0,0.0486
450.0,0.0479
452.0,0.0471
454.0,0.0462
456.0,0.0456
458.0,0.0449
460.0,0.0446
462.0,0.0439
464.0,0.0433
466.0,0.0427
468.0,0.0421
470.0,0.0415
472.0,0.0407
474.0,0.0399
476.0,0.0391
478.0,0.0384
480.0,0.0377
482.0,0.0370
484.0,0.0363
486.0,0.0356
488.0,0.0348
490.0,0.0341
492.0,0.0332
494.0,0.0322
496.0,0.0311
498.0,0.0300
500.0,0.0288
502.0,0.0276
504.0,0.0264
506.0,0.0253
508.0,0.0242
510.0,0.0232
512.0,0.0222
514.0,0.0212
516.0,0.0204
518.0,0.0196
520.0,0.0189
522.0,0.0183
524.0,0.0176
526.0,0.0171
528.0,0.0165
530.0,0.0160
532.0,0.0155
534.0,0.0150
536.0,0.0145
538.0,0.0141
540.0,0.0137
542.0,0.0133
544.0,0.0130
546.0,0.0126
548.0,0.0122
550.0,0.0118
552.0,0.0114
554.0,0.0110
556.0,0.0107
558.0,0.0103
560.0,0.0100
562.0,0.0098
564.0,0.0095
566.0,0.0093
568.0,0.0091
570.0,0.0090
572.0,0.0089
574.0,0.0088
576.0,0.0088
578.0,0.0088
580.0,0.0088
582.0,0.0088
584.0,0.0089
586.0,0.0089
588.0,0.0089
590.0,0.0089
592.0,0.0089
594.0,0.0088
596.0,0.0087
598.0,0.0086
600.0,0.0085
602.0,0.0085
604.0,0.0084
606.0,0.0084
608.0,0.0084
610.0,0.0085
612.0,0.0086
614.0,0.0087
616.0,0.0088
618.0,0.0089
620.0,0.0090
622.0,0.0090
624.0,0.0090
626.0,0.0091
628.0,0.0092
630.0,0.0093
632.0,0.0094
634.0,0.0095
636.0,0.0096
638.0,0.0097
640.0,0.0097
642.0,0.0098
644.0,0.0099
646.0,0.0100
648.0,0.0101
650.0,0.0103
652.0,0.0105
654.0,0.0110
656.0,0.0116
658.0,0.0123
660.0,0.0133
662.0,0.0145
664.0,0.0159
666.0,0.0174
668.0,0.0188
670.0,0.0199
672.0,0.0205
674.0,0.0207
676.0,0.0203
678.0,0.0195
680.0,0.0183
682.0,0.0166
684.0,0.0145
686.0,0.0124
688.0,0.0104
690.0,0.0087
692.0,0.0072
694.0,0.0060
696.0,0.0052
698.0,0.0044
700.0,0.0039
715.0,0.0002
720.0,0.0000
800.0,0.0000
900.0,0.0000
1000.0,0.0000
