# Dataset:      Phytoplankton specific-absorption exponent E(λ) in
#               a_φ*(λ) = A(λ) · Chl^(-E(λ))
# Source:       Bricaud, Morel, Babin, Allali & Claustre (1998), JGR 103, 31033.
# UV extension: Morrison & Nelson (2004); Vasilkov et al. (2005).
# Retrieved:    https://www.oceanopticsbook.info/packages/iws_l2h/conversion/files/AEmidUVabs.txt
#               (Ocean Optics Web Book, accessed 2026-04-21)
# License:      Creative Commons Attribution (Ocean Optics Web Book site-wide).
# Range:        300–1000 nm, 2 nm resolution.
# Units:        lambda_nm [nm], E [dimensionless].
# Columns:      lambda_nm, E
lambda_nm,E
300.0,0.8524
302.0,0.8515
304.0,0.8507
306.0,0.8498
308.0,0.8483
310.0,0.8453
312.0,0.8423
314.0,0.8378
316.0,0.8318
318.0,0.8258
320.0,0.8198
322.0,0.8138
324.0,0.8078
326.0,0.8018
328.0,0.7973
330.0,0.7943
332.0,0.7898
334.0,0.7867
336.0,0.7852
338.0,0.7822
340.0,0.7792
342.0,0.7762
344.0,0.7747
346.0,0.7732
348.0,0.7717
350.0,0.7702
352.0,0.7687
354.0,0.7672
356.0,0.7657
358.0,0.7627
360.0,0.7597
362.0,0.7567
364.0,0.7537
366.0,0.7462
368.0,0.7462
370.0,0.7417
372.0,0.7387
374.0,0.7357
376.0,0.7327
378.0,0.7297
380.0,0.7267
382.0,0.7237
384.0,0.7207
386.0,0.7177
388.0,0.7162
390.0,0.7132
392.0,0.7117
394.0,0.7102
396.0,0.7087
398.0,0.7057
400.0,0.7026
402.0,0.7001
404.0,0.6971
406.0,0.6940
408.0,0.6916
410.0,0.6882
412.0,0.6862
414.0,0.6816
416.0,0.6782
418.0,0.6746
420.0,0.6712
422.0,0.6649
424.0,0.6589
426.0,0.6557
428.0,0.6537
430.0,0.6543
432.0,0.6500
434.0,0.6451
436.0,0.6401
438.0,0.6358
440.0,0.6350
442.0,0.6298
444.0,0.6232
446.0,0.6186
448.0,0.6144
450.0,0.6151
452.0,0.6131
454.0,0.6101
456.0,0.6096
458.0,0.6096
460.0,0.6124
462.0,0.6128
464.0,0.6121
466.0,0.6119
468.0,0.6119
470.0,0.6129
472.0,0.6111
474.0,0.6084
476.0,0.6066
478.0,0.6052
480.0,0.6065
482.0,0.6064
484.0,0.6072
486.0,0.6097
488.0,0.6135
490.0,0.6200
492.0,0.6250
494.0,0.6308
496.0,0.6378
498.0,0.6457
500.0,0.6557
502.0,0.6650
504.0,0.6745
506.0,0.6844
508.0,0.6945
510.0,0.7060
512.0,0.7155
514.0,0.7247
516.0,0.7350
518.0,0.7447
520.0,0.7551
522.0,0.7644
524.0,0.7743
526.0,0.7758
528.0,0.7842
530.0,0.7920
532.0,0.7993
534.0,0.8043
536.0,0.8115
538.0,0.8162
540.0,0.8218
542.0,0.8271
544.0,0.8303
546.0,0.8341
548.0,0.8358
550.0,0.8385
552.0,0.8421
554.0,0.8419
556.0,0.8438
558.0,0.8436
560.0,0.8413
562.0,0.8392
564.0,0.8388
566.0,0.8398
568.0,0.8401
570.0,0.8364
572.0,0.8356
574.0,0.8355
576.0,0.8326
578.0,0.8295
580.0,0.8276
582.0,0.8265
584.0,0.8199
586.0,0.8202
588.0,0.8174
590.0,0.8117
592.0,0.8109
594.0,0.8085
596.0,0.8039
598.0,0.8043
600.0,0.8049
602.0,0.8057
604.0,0.8105
606.0,0.8156
608.0,0.8202
610.0,0.8248
612.0,0.8303
614.0,0.8340
616.0,0.8382
618.0,0.8397
620.0,0.8438
622.0,0.8462
624.0,0.8467
626.0,0.8443
628.0,0.8466
630.0,0.8455
632.0,0.8456
634.0,0.8450
636.0,0.8430
638.0,0.8412
640.0,0.8374
642.0,0.8296
644.0,0.8260
646.0,0.8190
648.0,0.8182
650.0,0.8142
652.0,0.8149
654.0,0.8138
656.0,0.8149
658.0,0.8201
660.0,0.8230
662.0,0.8276
664.0,0.8242
666.0,0.8197
668.0,0.8176
670.0,0.8177
672.0,0.8166
674.0,0.8188
676.0,0.8223
678.0,0.8273
680.0,0.8352
682.0,0.8501
684.0,0.8676
686.0,0.8884
688.0,0.9125
690.0,0.9314
692.0,0.9442
694.0,0.9678
696.0,0.9817
698.0,1.0027
700.0,1.0132
715.0,1.0000
720.0,1.0000
800.0,1.0000
900.0,1.0000
1000.0,1.0000
