# Dataset:      Pure-water absorption coefficient (liquid water)
# Source:       R. M. Pope and E. S. Fry (1997), "Absorption spectrum (380-700 nm)
#               of pure water. II. Integrating cavity measurements,"
#               Appl. Opt. 36, 8710-8723.
# DOI:          10.1364/AO.36.008710
# Retrieved:    https://omlc.org/spectra/water/data/pope97.txt (2026-04-20)
# Range:        380.0 to 727.5 nm, 2.5 nm resolution
# Unit change:  Source 1/cm -> stored 1/m (factor 100)
# Columns:      lambda_nm, absorption_m_inv
lambda_nm,absorption_m_inv
380.00,0.01137
382.50,0.01044
385.00,0.00941
387.50,0.00917
390.00,0.00851
392.50,0.00829
395.00,0.00813
397.50,0.00775
400.00,0.00663
402.50,0.00579
405.00,0.0053
407.50,0.00503
410.00,0.00473
412.50,0.00452
415.00,0.00444
417.50,0.00442
420.00,0.00454
422.50,0.00474
425.00,0.00478
427.50,0.00482
430.00,0.00495
432.50,0.00504
435.00,0.0053
437.50,0.0058
440.00,0.00635
442.50,0.00696
445.00,0.00751
447.50,0.0083
450.00,0.00922
452.50,0.00969
455.00,0.00962
457.50,0.00957
460.00,0.00979
462.50,0.01005
465.00,0.01011
467.50,0.0102
470.00,0.0106
472.50,0.0109
475.00,0.0114
477.50,0.0121
480.00,0.0127
482.50,0.0131
485.00,0.0136
487.50,0.0144
490.00,0.015
492.50,0.0162
495.00,0.0173
497.50,0.0191
500.00,0.0204
502.50,0.0228
505.00,0.0256
507.50,0.028
510.00,0.0325
512.50,0.0372
515.00,0.0396
517.50,0.0399
520.00,0.0409
522.50,0.0416
525.00,0.0417
527.50,0.0428
530.00,0.0434
532.50,0.0447
535.00,0.0452
537.50,0.0466
540.00,0.0474
542.50,0.0489
545.00,0.0511
547.50,0.0537
550.00,0.0565
552.50,0.0593
555.00,0.0596
557.50,0.0606
560.00,0.0619
562.50,0.064
565.00,0.0642
567.50,0.0672
570.00,0.0695
572.50,0.0733
575.00,0.0772
577.50,0.0836
580.00,0.0896
582.50,0.0989
585.00,0.11
587.50,0.122
590.00,0.1351
592.50,0.1516
595.00,0.1672
597.50,0.1925
600.00,0.2224
602.50,0.247
605.00,0.2577
607.50,0.2629
610.00,0.2644
612.50,0.2665
615.00,0.2678
617.50,0.2707
620.00,0.2755
622.50,0.281
625.00,0.2834
627.50,0.2904
630.00,0.2916
632.50,0.2995
635.00,0.3012
637.50,0.3077
640.00,0.3108
642.50,0.322
645.00,0.325
647.50,0.335
650.00,0.34
652.50,0.358
655.00,0.371
657.50,0.393
660.00,0.41
662.50,0.424
665.00,0.429
667.50,0.436
670.00,0.439
672.50,0.448
675.00,0.448
677.50,0.461
680.00,0.465
682.50,0.478
685.00,0.486
687.50,0.502
690.00,0.516
692.50,0.538
695.00,0.559
697.50,0.592
700.00,0.624
702.50,0.663
705.00,0.704
707.50,0.756
710.00,0.827
712.50,0.914
715.00,1.007
717.50,1.119
720.00,1.231
722.50,1.356
725.00,1.489
727.50,1.678
