# Dataset:      Pure-water absorption coefficient ("clearest natural waters")
# Source:       R. C. Smith and K. S. Baker (1981), "Optical properties of the
#               clearest natural waters (200-800 nm),"
#               Appl. Opt. 20, 177-184.
# DOI:          10.1364/AO.20.000177
# Retrieved:    https://omlc.org/spectra/water/data/smith81.txt (2026-04-20)
# Range:        200 to 800 nm, 10 nm resolution
# Unit change:  Source 1/cm -> stored 1/m (factor 100)
# Columns:      lambda_nm, absorption_m_inv
lambda_nm,absorption_m_inv
200.00,3.07
210.00,1.99
220.00,1.31
230.00,0.927
240.00,0.72
250.00,0.559
260.00,0.457
270.00,0.373
280.00,0.288
290.00,0.215
300.00,0.141
310.00,0.105
320.00,0.0844
330.00,0.0678
340.00,0.0561
350.00,0.0463
360.00,0.0379
370.00,0.03
380.00,0.022
390.00,0.0191
400.00,0.0171
410.00,0.0162
420.00,0.0153
430.00,0.0144
440.00,0.0145
450.00,0.0145
460.00,0.0156
470.00,0.0156
480.00,0.0176
490.00,0.0196
500.00,0.0257
510.00,0.0357
520.00,0.0477
530.00,0.0507
540.00,0.0558
550.00,0.0638
560.00,0.0708
570.00,0.0799
580.00,0.108
590.00,0.157
600.00,0.244
610.00,0.289
620.00,0.309
630.00,0.319
640.00,0.329
650.00,0.349
660.00,0.4
670.00,0.43
680.00,0.45
690.00,0.5
700.00,0.65
710.00,0.839
720.00,1.169
730.00,1.799
740.00,2.38
750.00,2.47
760.00,2.55
770.00,2.51
780.00,2.36
790.00,2.16
800.00,2.07
